keyword;concordancia;grupo;anuncio;landing;url_final;demo;video;estado;riesgo
automatización de procesos empresa;Exact;GA1 Proveedor de automatizacion;RSA-GA1;/automatizacion-procesos;https://dcodepartners.com/automatizacion-procesos;procesos;demo-procesos.mp4;BORRADOR · PAUSADO;Puede atraer búsquedas de software
automatizar procesos empresa;Exact;GA1 Proveedor de automatizacion;RSA-GA1;/automatizacion-procesos;https://dcodepartners.com/automatizacion-procesos;procesos;demo-procesos.mp4;BORRADOR · PAUSADO;Algo de DIY
empresa de automatización de procesos;Exact;GA1 Proveedor de automatizacion;RSA-GA1;/automatizacion-procesos;https://dcodepartners.com/automatizacion-procesos;procesos;demo-procesos.mp4;BORRADOR · PAUSADO;Puede atraer automatización industrial (PLC)
consultoría automatización procesos;Phrase;GA1 Proveedor de automatizacion;RSA-GA1;/automatizacion-procesos;https://dcodepartners.com/automatizacion-procesos;procesos;demo-procesos.mp4;BORRADOR · PAUSADO;Empleo ('consultor') 
agencia de automatización;Exact;GA1 Proveedor de automatizacion;RSA-GA1;/automatizacion-procesos;https://dcodepartners.com/automatizacion-procesos;procesos;demo-procesos.mp4;BORRADOR · PAUSADO;Puede atraer marketing automation / freelancers que buscan agencia para trabajar
automatización de procesos madrid;Exact;GA1 Proveedor de automatizacion;RSA-GA1;/automatizacion-procesos;https://dcodepartners.com/automatizacion-procesos;procesos;demo-procesos.mp4;BORRADOR · PAUSADO;Volumen probablemente muy bajo
automatizar seguimiento clientes;Phrase;GA2 Seguimiento comercial;RSA-GA2;/automatizacion-seguimiento-comercial;https://dcodepartners.com/automatizacion-seguimiento-comercial;comercial;demo-comercial.mp4;BORRADOR · PAUSADO;Busca CRM barato
automatizar seguimiento de presupuestos;Phrase;GA2 Seguimiento comercial;RSA-GA2;/automatizacion-seguimiento-comercial;https://dcodepartners.com/automatizacion-seguimiento-comercial;comercial;demo-comercial.mp4;BORRADOR · PAUSADO;Volumen probablemente bajo
automatizar atención al cliente;Phrase;GA3 Consultas de clientes;RSA-GA3;/automatizacion-atencion-clientes;https://dcodepartners.com/automatizacion-atencion-clientes;atencion;demo-atencion.mp4;BORRADOR · PAUSADO;Atrae herramientas de chatbot baratas
empresa automatización ia madrid;Exact;GA1 Proveedor de automatizacion;RSA-GA1;/automatizacion-procesos;https://dcodepartners.com/automatizacion-procesos;procesos;demo-procesos.mp4;BORRADOR · PAUSADO;Volumen bajo
consultora ia pymes;Phrase;GA1 Proveedor de automatizacion;RSA-GA1;/automatizacion-procesos;https://dcodepartners.com/automatizacion-procesos;procesos;demo-procesos.mp4;BORRADOR · PAUSADO;Empleo ('consultora' + trabajo)
presupuesto automatización procesos;Phrase;GA1 Proveedor de automatizacion;RSA-GA1;/automatizacion-procesos;https://dcodepartners.com/automatizacion-procesos;procesos;demo-procesos.mp4;BORRADOR · PAUSADO;Busca precio mínimo
d-code partners;Exact;MARCA D-Code;RSA-GA1;/automatizacion-procesos;https://dcodepartners.com/automatizacion-procesos;procesos;demo-procesos.mp4;BORRADOR · PAUSADO;Coste casi nulo si hay pocos competidores
dcode partners;Exact;MARCA D-Code;RSA-GA1;/automatizacion-procesos;https://dcodepartners.com/automatizacion-procesos;procesos;demo-procesos.mp4;BORRADOR · PAUSADO;Coste casi nulo si hay pocos competidores
