categoria;keyword;concordancia_propuesta;intencion_HIPOTESIS;producto_catalogo;landing_propuesta;fase_test;riesgo;volumen_mensual;cpc_estimado;notas
A Genérica automatización;automatización de procesos;Frase;Mixta: servicio + informativa + software;Automatización individual / Departamento;/automatizacion-procesos;Fase 2;Alta mezcla de estudiantes, definiciones y software RPA;NO MEDIDO (Keyword Planner);NO MEDIDO (Keyword Planner);"Solo con negativas fuertes; probar como exacta antes que frase"
A Genérica automatización;automatización de procesos empresa;Exacta;Comercial media;Automatización individual;/automatizacion-procesos;Fase 1;Puede atraer búsquedas de software;NO MEDIDO (Keyword Planner);NO MEDIDO (Keyword Planner);Núcleo del grupo genérico
A Genérica automatización;automatizar procesos empresa;Exacta;Comercial media-alta (verbo de acción);Automatización individual;/automatizacion-procesos;Fase 1;Algo de DIY;NO MEDIDO (Keyword Planner);NO MEDIDO (Keyword Planner);Verbo 'automatizar' suele indicar tarea pendiente
A Genérica automatización;empresa de automatización de procesos;Exacta;Comercial alta (busca proveedor);Automatización individual / Departamento;/automatizacion-procesos;Fase 1;Puede atraer automatización industrial (PLC);NO MEDIDO (Keyword Planner);NO MEDIDO (Keyword Planner);Negativas industriales obligatorias
A Genérica automatización;consultoría automatización procesos;Frase;Comercial alta (busca proveedor);Departamento;/automatizacion-procesos;Fase 1;Empleo ('consultor') ;NO MEDIDO (Keyword Planner);NO MEDIDO (Keyword Planner);Negativas de empleo
A Genérica automatización;automatización empresarial;Frase;Mixta, amplia;Departamento;/automatizacion-procesos;Fase 2;"Muy amplia; software";NO MEDIDO (Keyword Planner);NO MEDIDO (Keyword Planner);Evaluar tras ver términos de búsqueda
A Genérica automatización;agencia de automatización;Exacta;Comercial alta;Automatización individual;/automatizacion-procesos;Fase 1;Puede atraer marketing automation / freelancers que buscan agencia para trabajar;NO MEDIDO (Keyword Planner);NO MEDIDO (Keyword Planner);Revisar términos
A Genérica automatización;automatizar tareas empresa;Frase;Mixta;Automatización individual;/automatizacion-procesos;Fase 2;DIY (Zapier, Excel);NO MEDIDO (Keyword Planner);NO MEDIDO (Keyword Planner);—
A Genérica automatización;automatización de procesos madrid;Exacta;Comercial alta + local;Automatización individual / Departamento;/automatizacion-procesos;Fase 1;Volumen probablemente muy bajo;NO MEDIDO (Keyword Planner);NO MEDIDO (Keyword Planner);Si geo=Madrid, el modificador geográfico es redundante pero indica intención de proveedor local
B Automatización + problema;automatizar seguimiento clientes;Frase;Comercial media-alta, problema concreto;Comercial IA núcleo;/automatizacion-seguimiento-comercial;Fase 1;Busca CRM barato;NO MEDIDO (Keyword Planner);NO MEDIDO (Keyword Planner);Encaje directo con producto vendible
