grupo;negativa;concordancia_negativa;nivel;nota
Empleo;trabajo;Amplia negativa;Lista de negativas compartida 'DCODE-BASE';Las negativas NO cubren variantes cercanas (sí faltas de ortografía desde 2024): añadir plural/singular a mano
Empleo;empleo;Amplia negativa;Lista de negativas compartida 'DCODE-BASE';Las negativas NO cubren variantes cercanas (sí faltas de ortografía desde 2024): añadir plural/singular a mano
Empleo;oferta de empleo;Frase negativa;Lista de negativas compartida 'DCODE-BASE';Las negativas NO cubren variantes cercanas (sí faltas de ortografía desde 2024): añadir plural/singular a mano
Empleo;sueldo;Amplia negativa;Lista de negativas compartida 'DCODE-BASE';Las negativas NO cubren variantes cercanas (sí faltas de ortografía desde 2024): añadir plural/singular a mano
Empleo;salario;Amplia negativa;Lista de negativas compartida 'DCODE-BASE';Las negativas NO cubren variantes cercanas (sí faltas de ortografía desde 2024): añadir plural/singular a mano
Empleo;vacantes;Amplia negativa;Lista de negativas compartida 'DCODE-BASE';Las negativas NO cubren variantes cercanas (sí faltas de ortografía desde 2024): añadir plural/singular a mano
Empleo;prácticas;Amplia negativa;Lista de negativas compartida 'DCODE-BASE';Las negativas NO cubren variantes cercanas (sí faltas de ortografía desde 2024): añadir plural/singular a mano
Empleo;becario;Amplia negativa;Lista de negativas compartida 'DCODE-BASE';Las negativas NO cubren variantes cercanas (sí faltas de ortografía desde 2024): añadir plural/singular a mano
Empleo;infojobs;Amplia negativa;Lista de negativas compartida 'DCODE-BASE';Las negativas NO cubren variantes cercanas (sí faltas de ortografía desde 2024): añadir plural/singular a mano
Empleo;linkedin empleo;Frase negativa;Lista de negativas compartida 'DCODE-BASE';Las negativas NO cubren variantes cercanas (sí faltas de ortografía desde 2024): añadir plural/singular a mano
Empleo;teletrabajo;Amplia negativa;Lista de negativas compartida 'DCODE-BASE';Las negativas NO cubren variantes cercanas (sí faltas de ortografía desde 2024): añadir plural/singular a mano
Empleo;freelance trabajo;Frase negativa;Lista de negativas compartida 'DCODE-BASE';Las negativas NO cubren variantes cercanas (sí faltas de ortografía desde 2024): añadir plural/singular a mano
Empleo;cv;Amplia negativa;Lista de negativas compartida 'DCODE-BASE';Las negativas NO cubren variantes cercanas (sí faltas de ortografía desde 2024): añadir plural/singular a mano
Formación/estudiantes;curso;Amplia negativa;Lista de negativas compartida 'DCODE-BASE';Las negativas NO cubren variantes cercanas (sí faltas de ortografía desde 2024): añadir plural/singular a mano
Formación/estudiantes;cursos;Amplia negativa;Lista de negativas compartida 'DCODE-BASE';Las negativas NO cubren variantes cercanas (sí faltas de ortografía desde 2024): añadir plural/singular a mano
Formación/estudiantes;master;Amplia negativa;Lista de negativas compartida 'DCODE-BASE';Las negativas NO cubren variantes cercanas (sí faltas de ortografía desde 2024): añadir plural/singular a mano
Formación/estudiantes;máster;Amplia negativa;Lista de negativas compartida 'DCODE-BASE';Las negativas NO cubren variantes cercanas (sí faltas de ortografía desde 2024): añadir plural/singular a mano
Formación/estudiantes;formación;Amplia negativa;Lista de negativas compartida 'DCODE-BASE';Las negativas NO cubren variantes cercanas (sí faltas de ortografía desde 2024): añadir plural/singular a mano
Formación/estudiantes;certificación;Amplia negativa;Lista de negativas compartida 'DCODE-BASE';Las negativas NO cubren variantes cercanas (sí faltas de ortografía desde 2024): añadir plural/singular a mano
Formación/estudiantes;grado;Amplia negativa;Lista de negativas compartida 'DCODE-BASE';Las negativas NO cubren variantes cercanas (sí faltas de ortografía desde 2024): añadir plural/singular a mano
Formación/estudiantes;fp;Amplia negativa;Lista de negativas compartida 'DCODE-BASE';Las negativas NO cubren variantes cercanas (sí faltas de ortografía desde 2024): añadir plural/singular a mano
Formación/estudiantes;universidad;Amplia negativa;Lista de negativas compartida 'DCODE-BASE';Las negativas NO cubren variantes cercanas (sí faltas de ortografía desde 2024): añadir plural/singular a mano
Formación/estudiantes;tfg;Amplia negativa;Lista de negativas compartida 'DCODE-BASE';Las negativas NO cubren variantes cercanas (sí faltas de ortografía desde 2024): añadir plural/singular a mano
Formación/estudiantes;tfm;Amplia negativa;Lista de negativas compartida 'DCODE-BASE';Las negativas NO cubren variantes cercanas (sí faltas de ortografía desde 2024): añadir plural/singular a mano
Formación/estudiantes;apuntes;Amplia negativa;Lista de negativas compartida 'DCODE-BASE';Las negativas NO cubren variantes cercanas (sí faltas de ortografía desde 2024): añadir plural/singular a mano
Formación/estudiantes;temario;Amplia negativa;Lista de negativas compartida 'DCODE-BASE';Las negativas NO cubren variantes cercanas (sí faltas de ortografía desde 2024): añadir plural/singular a mano
Formación/estudiantes;pdf;Amplia negativa;Lista de negativas compartida 'DCODE-BASE';Las negativas NO cubren variantes cercanas (sí faltas de ortografía desde 2024): añadir plural/singular a mano
Formación/estudiantes;libro;Amplia negativa;Lista de negativas compartida 'DCODE-BASE';Las negativas NO cubren variantes cercanas (sí faltas de ortografía desde 2024): añadir plural/singular a mano
Formación/estudiantes;ejemplos de;Frase negativa;Lista de negativas compartida 'DCODE-BASE';Las negativas NO cubren variantes cercanas (sí faltas de ortografía desde 2024): añadir plural/singular a mano
Formación/estudiantes;qué es;Frase negativa;Lista de negativas compartida 'DCODE-BASE';Las negativas NO cubren variantes cercanas (sí faltas de ortografía desde 2024): añadir plural/singular a mano
Formación/estudiantes;que es;Frase negativa;Lista de negativas compartida 'DCODE-BASE';Las negativas NO cubren variantes cercanas (sí faltas de ortografía desde 2024): añadir plural/singular a mano
Formación/estudiantes;definición;Amplia negativa;Lista de negativas compartida 'DCODE-BASE';Las negativas NO cubren variantes cercanas (sí faltas de ortografía desde 2024): añadir plural/singular a mano
Formación/estudiantes;wikipedia;Amplia negativa;Lista de negativas compartida 'DCODE-BASE';Las negativas NO cubren variantes cercanas (sí faltas de ortografía desde 2024): añadir plural/singular a mano
Formación/estudiantes;ventajas y desventajas;Frase negativa;Lista de negativas compartida 'DCODE-BASE';Las negativas NO cubren variantes cercanas (sí faltas de ortografía desde 2024): añadir plural/singular a mano
Formación/estudiantes;tipos de;Frase negativa;Lista de negativas compartida 'DCODE-BASE';Las negativas NO cubren variantes cercanas (sí faltas de ortografía desde 2024): añadir plural/singular a mano
Formación/estudiantes;historia;Amplia negativa;Lista de negativas compartida 'DCODE-BASE';Las negativas NO cubren variantes cercanas (sí faltas de ortografía desde 2024): añadir plural/singular a mano
Formación/estudiantes;aprender;Amplia negativa;Lista de negativas compartida 'DCODE-BASE';Las negativas NO cubren variantes cercanas (sí faltas de ortografía desde 2024): añadir plural/singular a mano
Formación/estudiantes;tutorial;Amplia negativa;Lista de negativas compartida 'DCODE-BASE';Las negativas NO cubren variantes cercanas (sí faltas de ortografía desde 2024): añadir plural/singular a mano
Formación/estudiantes;youtube;Amplia negativa;Lista de negativas compartida 'DCODE-BASE';Las negativas NO cubren variantes cercanas (sí faltas de ortografía desde 2024): añadir plural/singular a mano
DIY/barato;gratis;Amplia negativa;Lista de negativas compartida 'DCODE-BASE';Las negativas NO cubren variantes cercanas (sí faltas de ortografía desde 2024): añadir plural/singular a mano
DIY/barato;gratuito;Amplia negativa;Lista de negativas compartida 'DCODE-BASE';Las negativas NO cubren variantes cercanas (sí faltas de ortografía desde 2024): añadir plural/singular a mano
DIY/barato;free;Amplia negativa;Lista de negativas compartida 'DCODE-BASE';Las negativas NO cubren variantes cercanas (sí faltas de ortografía desde 2024): añadir plural/singular a mano
DIY/barato;plantilla;Amplia negativa;Lista de negativas compartida 'DCODE-BASE';Las negativas NO cubren variantes cercanas (sí faltas de ortografía desde 2024): añadir plural/singular a mano
DIY/barato;excel;Amplia negativa;Lista de negativas compartida 'DCODE-BASE';Las negativas NO cubren variantes cercanas (sí faltas de ortografía desde 2024): añadir plural/singular a mano
DIY/barato;macro;Amplia negativa;Lista de negativas compartida 'DCODE-BASE';Las negativas NO cubren variantes cercanas (sí faltas de ortografía desde 2024): añadir plural/singular a mano
DIY/barato;vba;Amplia negativa;Lista de negativas compartida 'DCODE-BASE';Las negativas NO cubren variantes cercanas (sí faltas de ortografía desde 2024): añadir plural/singular a mano
DIY/barato;python;Amplia negativa;Lista de negativas compartida 'DCODE-BASE';Las negativas NO cubren variantes cercanas (sí faltas de ortografía desde 2024): añadir plural/singular a mano
DIY/barato;github;Amplia negativa;Lista de negativas compartida 'DCODE-BASE';Las negativas NO cubren variantes cercanas (sí faltas de ortografía desde 2024): añadir plural/singular a mano
DIY/barato;open source;Frase negativa;Lista de negativas compartida 'DCODE-BASE';Las negativas NO cubren variantes cercanas (sí faltas de ortografía desde 2024): añadir plural/singular a mano
DIY/barato;descargar;Amplia negativa;Lista de negativas compartida 'DCODE-BASE';Las negativas NO cubren variantes cercanas (sí faltas de ortografía desde 2024): añadir plural/singular a mano
DIY/barato;app;Amplia negativa;Lista de negativas compartida 'DCODE-BASE';Las negativas NO cubren variantes cercanas (sí faltas de ortografía desde 2024): añadir plural/singular a mano
DIY/barato;chatgpt;Amplia negativa;Lista de negativas compartida 'DCODE-BASE';Las negativas NO cubren variantes cercanas (sí faltas de ortografía desde 2024): añadir plural/singular a mano
DIY/barato;prompt;Amplia negativa;Lista de negativas compartida 'DCODE-BASE';Las negativas NO cubren variantes cercanas (sí faltas de ortografía desde 2024): añadir plural/singular a mano
DIY/barato;cómo hacer;Frase negativa;Lista de negativas compartida 'DCODE-BASE';Las negativas NO cubren variantes cercanas (sí faltas de ortografía desde 2024): añadir plural/singular a mano
DIY/barato;como hacer;Frase negativa;Lista de negativas compartida 'DCODE-BASE';Las negativas NO cubren variantes cercanas (sí faltas de ortografía desde 2024): añadir plural/singular a mano
DIY/barato;crear un;Frase negativa;Lista de negativas compartida 'DCODE-BASE';Las negativas NO cubren variantes cercanas (sí faltas de ortografía desde 2024): añadir plural/singular a mano
Automatización industrial/doméstica;plc;Amplia negativa;Lista de negativas compartida 'DCODE-BASE';Las negativas NO cubren variantes cercanas (sí faltas de ortografía desde 2024): añadir plural/singular a mano
Automatización industrial/doméstica;scada;Amplia negativa;Lista de negativas compartida 'DCODE-BASE';Las negativas NO cubren variantes cercanas (sí faltas de ortografía desde 2024): añadir plural/singular a mano
Automatización industrial/doméstica;industrial;Amplia negativa;Lista de negativas compartida 'DCODE-BASE';Las negativas NO cubren variantes cercanas (sí faltas de ortografía desde 2024): añadir plural/singular a mano
Automatización industrial/doméstica;robot;Amplia negativa;Lista de negativas compartida 'DCODE-BASE';Las negativas NO cubren variantes cercanas (sí faltas de ortografía desde 2024): añadir plural/singular a mano
Automatización industrial/doméstica;robótica;Amplia negativa;Lista de negativas compartida 'DCODE-BASE';Las negativas NO cubren variantes cercanas (sí faltas de ortografía desde 2024): añadir plural/singular a mano
Automatización industrial/doméstica;domótica;Amplia negativa;Lista de negativas compartida 'DCODE-BASE';Las negativas NO cubren variantes cercanas (sí faltas de ortografía desde 2024): añadir plural/singular a mano
Automatización industrial/doméstica;hogar;Amplia negativa;Lista de negativas compartida 'DCODE-BASE';Las negativas NO cubren variantes cercanas (sí faltas de ortografía desde 2024): añadir plural/singular a mano
Automatización industrial/doméstica;puertas;Amplia negativa;Lista de negativas compartida 'DCODE-BASE';Las negativas NO cubren variantes cercanas (sí faltas de ortografía desde 2024): añadir plural/singular a mano
Automatización industrial/doméstica;persianas;Amplia negativa;Lista de negativas compartida 'DCODE-BASE';Las negativas NO cubren variantes cercanas (sí faltas de ortografía desde 2024): añadir plural/singular a mano
Automatización industrial/doméstica;riego;Amplia negativa;Lista de negativas compartida 'DCODE-BASE';Las negativas NO cubren variantes cercanas (sí faltas de ortografía desde 2024): añadir plural/singular a mano
Automatización industrial/doméstica;siemens;Amplia negativa;Lista de negativas compartida 'DCODE-BASE';Las negativas NO cubren variantes cercanas (sí faltas de ortografía desde 2024): añadir plural/singular a mano
Automatización industrial/doméstica;neumática;Amplia negativa;Lista de negativas compartida 'DCODE-BASE';Las negativas NO cubren variantes cercanas (sí faltas de ortografía desde 2024): añadir plural/singular a mano
Automatización industrial/doméstica;electricidad;Amplia negativa;Lista de negativas compartida 'DCODE-BASE';Las negativas NO cubren variantes cercanas (sí faltas de ortografía desde 2024): añadir plural/singular a mano
Automatización industrial/doméstica;cuadro eléctrico;Frase negativa;Lista de negativas compartida 'DCODE-BASE';Las negativas NO cubren variantes cercanas (sí faltas de ortografía desde 2024): añadir plural/singular a mano
Automatización industrial/doméstica;almacén;Amplia negativa;Lista de negativas compartida 'DCODE-BASE';Las negativas NO cubren variantes cercanas (sí faltas de ortografía desde 2024): añadir plural/singular a mano
Subvenciones cerradas;kit digital;Frase negativa;Lista de negativas compartida 'DCODE-BASE';Las negativas NO cubren variantes cercanas (sí faltas de ortografía desde 2024): añadir plural/singular a mano
Subvenciones cerradas;kit consulting;Frase negativa;Lista de negativas compartida 'DCODE-BASE';Las negativas NO cubren variantes cercanas (sí faltas de ortografía desde 2024): añadir plural/singular a mano
Subvenciones cerradas;subvención;Amplia negativa;Lista de negativas compartida 'DCODE-BASE';Las negativas NO cubren variantes cercanas (sí faltas de ortografía desde 2024): añadir plural/singular a mano
Subvenciones cerradas;ayudas;Amplia negativa;Lista de negativas compartida 'DCODE-BASE';Las negativas NO cubren variantes cercanas (sí faltas de ortografía desde 2024): añadir plural/singular a mano
Software/navegacional;login;Amplia negativa;Lista de negativas compartida 'DCODE-BASE';Las negativas NO cubren variantes cercanas (sí faltas de ortografía desde 2024): añadir plural/singular a mano
Software/navegacional;iniciar sesión;Frase negativa;Lista de negativas compartida 'DCODE-BASE';Las negativas NO cubren variantes cercanas (sí faltas de ortografía desde 2024): añadir plural/singular a mano
Software/navegacional;precio licencia;Frase negativa;Lista de negativas compartida 'DCODE-BASE';Las negativas NO cubren variantes cercanas (sí faltas de ortografía desde 2024): añadir plural/singular a mano
Software/navegacional;hubspot;Amplia negativa;Lista de negativas compartida 'DCODE-BASE';Las negativas NO cubren variantes cercanas (sí faltas de ortografía desde 2024): añadir plural/singular a mano
Software/navegacional;salesforce;Amplia negativa;Lista de negativas compartida 'DCODE-BASE';Las negativas NO cubren variantes cercanas (sí faltas de ortografía desde 2024): añadir plural/singular a mano
Software/navegacional;uipath;Amplia negativa;Lista de negativas compartida 'DCODE-BASE';Las negativas NO cubren variantes cercanas (sí faltas de ortografía desde 2024): añadir plural/singular a mano
Software/navegacional;power automate;Frase negativa;Lista de negativas compartida 'DCODE-BASE';Las negativas NO cubren variantes cercanas (sí faltas de ortografía desde 2024): añadir plural/singular a mano
Software/navegacional;zapier precio;Frase negativa;Lista de negativas compartida 'DCODE-BASE';Las negativas NO cubren variantes cercanas (sí faltas de ortografía desde 2024): añadir plural/singular a mano
Software/navegacional;odoo;Amplia negativa;Lista de negativas compartida 'DCODE-BASE';Las negativas NO cubren variantes cercanas (sí faltas de ortografía desde 2024): añadir plural/singular a mano
Software/navegacional;holded;Amplia negativa;Lista de negativas compartida 'DCODE-BASE';Las negativas NO cubren variantes cercanas (sí faltas de ortografía desde 2024): añadir plural/singular a mano
Fuera de mercado;mexico;Amplia negativa;Lista de negativas compartida 'DCODE-BASE';Las negativas NO cubren variantes cercanas (sí faltas de ortografía desde 2024): añadir plural/singular a mano
Fuera de mercado;méxico;Amplia negativa;Lista de negativas compartida 'DCODE-BASE';Las negativas NO cubren variantes cercanas (sí faltas de ortografía desde 2024): añadir plural/singular a mano
Fuera de mercado;argentina;Amplia negativa;Lista de negativas compartida 'DCODE-BASE';Las negativas NO cubren variantes cercanas (sí faltas de ortografía desde 2024): añadir plural/singular a mano
Fuera de mercado;colombia;Amplia negativa;Lista de negativas compartida 'DCODE-BASE';Las negativas NO cubren variantes cercanas (sí faltas de ortografía desde 2024): añadir plural/singular a mano
Fuera de mercado;chile;Amplia negativa;Lista de negativas compartida 'DCODE-BASE';Las negativas NO cubren variantes cercanas (sí faltas de ortografía desde 2024): añadir plural/singular a mano
Fuera de mercado;perú;Amplia negativa;Lista de negativas compartida 'DCODE-BASE';Las negativas NO cubren variantes cercanas (sí faltas de ortografía desde 2024): añadir plural/singular a mano
Noticias/opinión;noticias;Amplia negativa;Lista de negativas compartida 'DCODE-BASE';Las negativas NO cubren variantes cercanas (sí faltas de ortografía desde 2024): añadir plural/singular a mano
Noticias/opinión;peligros;Amplia negativa;Lista de negativas compartida 'DCODE-BASE';Las negativas NO cubren variantes cercanas (sí faltas de ortografía desde 2024): añadir plural/singular a mano
Noticias/opinión;ética;Amplia negativa;Lista de negativas compartida 'DCODE-BASE';Las negativas NO cubren variantes cercanas (sí faltas de ortografía desde 2024): añadir plural/singular a mano
Noticias/opinión;reemplazará;Amplia negativa;Lista de negativas compartida 'DCODE-BASE';Las negativas NO cubren variantes cercanas (sí faltas de ortografía desde 2024): añadir plural/singular a mano
Noticias/opinión;empleos que desaparecerán;Frase negativa;Lista de negativas compartida 'DCODE-BASE';Las negativas NO cubren variantes cercanas (sí faltas de ortografía desde 2024): añadir plural/singular a mano
